name,type,country,founded,born,died
David Bowie,artist,England,,1947,
Martha Wainwright,artist,Canada,,,
Tanita Tikaram,artist,United Kingdom,,,
Asian Dub Foundation,band,England,1993,,
Defari,band,United States,,,
1000 Clowns,band,,1997,,
MC Solaar,artist,Senegal,,1969,
Brian Boru Irish Pipe Band,band,United States,1962,,
Banco de Gaia,artist,United Kingdom,,1964,
Dogstar,band,United States,,,
David Gray,artist,United Kingdom,,1970,
Anuna,band,Ireland,1987,,
Cheb i Sabbah,artist,Algeria,,,
De La Soul,band,United States,,,
tyg,band,Australia,,,
Amanda Marshall,artist,Canada,,,
Biohazard,band,United States,1988,,
Brian Littrell,artist,United States,,,
Kelly Willis,artist,United States,,,
Minnie Pearl,artist,United States,,,
Linda Perry,artist,United States,,,
The Brand New Heavies,band,England,1985,,
Jaci Velasquez,artist,United States,,,
Max,band,Japan,,,
Andy Creeggan,artist,Canada,,1971,
Severed Heads,band,Australia,,,
JoBoxers,band,United Kingdom,,,
Greg Jacobs,artist,United States,,,
Gastr Del Sol,band,United States,1993,,
Al Rose,artist,United States,,,
Mason Proffit,band,United States,1969,,
Little Blue Crunchy Things,band,United States,,,
Dein Schatten,band,Germany,2000,,
Reveille,band,United States,,,
Duncan Sheik,artist,United States,,,
The Tams,band,United States,,,
Analyst,artist,United States,,,
Idil Biret,artist,Turkey,,,
Travis,band,Scotland,1991,,
Enemy,band,,,,
Vangelis,band,Greece,,,
Kyle Vincent,artist,United States,,,
Blink,band,Ireland,1991,,
GG Allin,artist,United States,,,
Danzig,band,United States,1987,,
Arcade,band,United States,1992,,
Ricky Lynn Gregg,artist,United States,,,
ZOEgirl,band,United States,1990,,
RaKiT,band,United States,,,
Sam Bush,artist,United States,,1952,
Kenny Clarke,artist,United States,,1914,1985
Priscila y Sus Balas De Plata,band,United States,,,
Indigo_Girls,band,United States,1985,,
Three Dead Trolls in a Baggie,band,Canada,,,
Cowboy Mouth,band,United States,,,
Dave Edmunds,artist,Wales,,1944,
Amber,artist,,,,
Zap Mama,band,Belgium,1990,,
Camarosmith,band,United States,,,
Daisy Chainsaw,band,United Kingdom,1991,,
Cradle of Filth,band,United Kingdom,1991,,
K's Choice,band,Belgium,1991,,
Leahy,band,Canada,,,
Timo Kotipelto,artist,Finland,,1969,
Crime and the City Solution,band,Australia,,,
Mint Condition,band,United States,1991,,
Piebald,band,United States,,,
Rahsaan Roland Kirk,artist,United States,,1936,1977
John Michael Talbot,artist,United States,,1954,
Sherbet,band,Australia,1969,,
Shania Twain,artist,Canada,,1965,
Sons of the Desert,band,United States,,,
Conlon Nancarrow,artist,United States,,,
Modern English,band,England,,,
Lisa Germano,artist,United States,,,
Kodo,band,Japan,1981,,
Conflict,band,United Kingdom,,,
Lord High Fixers,band,United States,,,
Ruby Lovett,artist,United States,,,
John Tesh,artist,United States,,,
Jens Johansson,artist,Sweden,,1963,
Lil' Kim,band,United States,,,
Sylvia McNair,artist,United States,,,
The Uninvited,band,United States,,,
The Booths,band,United States,,,
Yanah,artist,,,,
Momus,band,Scotland,,,
Billy Taylor,artist,United States,,,
Baka Boyz,band,United States,,,
Rollers-Sparkers,band,,,,
Jaco Pastorius,artist,United States,,,
Night Ranger,band,United States,1981,,
The Saints,band,Australia,,,
Leadbelly,band,United States,,,
Fat Joe,artist,United States,,,
Brent Lamb,artist,United States,,,
Tricky,artist,England,,1968,
justincase,band,United States,,,
Stephen Alexandersen,artist,United States,,,
Coal,band,Canada,,,
Don Francisco,artist,United States,,,
Val Salva,band,,,,
David Lee Murphy,artist,United States,,,
Young Fresh Fellows,band,United States,1982,,
Jamie Owens-Collins,artist,United States,,1955,
Joe Meek,artist,England,,,
Led Zeppelin,band,England,1968,,
Sacrifist,band,South Africa,,,
Bobby Pulido,artist,United States,,,
Tigertailz,band,Wales,,,
Nena,band,Germany,1982,,
1000 Days,band,United States,,,
Kingdom Folk Band,band,,,,
Shane Stockton,artist,United States,,,
Judy Garland,artist,United States,,,
AD,band,United States,,,
Nana Mouskouri,artist,Greece,,,
Chicago,band,United States,,,
BBMak,band,England,1996,,
Smash Mouth,band,United States,,,
Glass Harp,band,United States,1968,,
Lawrence Gowan,artist,Canada,,,
Moonbabies,band,Sweden,,,
Neurotic Outsiders,band,United States,1996,,
Donald Fagen,artist,United States,,,
Roxy Music,band,England,1971,,
Judee Sill,artist,United States,,1944,1979
Soak,band,United States,1994,,
Gino Vannelli,artist,Canada,,,
Bobby McFerrin,artist,United States,,,
Tourniquet,band,United States,1990,,
Beth Hart,artist,United States,,,
Spiderbait,band,Australia,,,
Lionel Hampton,artist,United States,,,
Lovage,band,,2001,,
Warsaw,band,United States,,,
Kid Rock,band,United States,,,
Temple Of The Dog,band,United States,1990,,
Maestro Fresh Wes,artist,Canada,,,
Malaysian Philharmonic Orchestra (MPO),band,Malaysia,1998,,
Nobody's Angel,band,,,,
I Am Kloot,band,England,,,
The Wilkinsons,band,Canada,,,
Nickelback,band,Canada,1997,,
Cambeltown Pipe Band,band,,,,
George Michael,artist,England,,1963,
White Lion,band,United States,,,
Belle and Sebastian,band,Scotland,1995,,
Saving Boy Wonder,band,United States,,,
Waylon Jennings,artist,United States,,,
Steve Kimock Band,band,United States,,,
Boss Hog,band,United States,,,
My Bloody Valentine,band,Ireland,,,
Home Service,band,,,,
John Elefante,artist,United States,,1958,
Britney Spears,artist,United States,,1981,
Relative Ash,band,United States,,,
Branford Marsalis,artist,United States,,,
Jim O'Rourke,artist,United States,,,
Gorky Park,band,Russia,,,
Shelby Starner,artist,United States,,,
Cranberries,band,Ireland,,,
Dan Compton and Fran Slefer,band,,,,
RebbeSoul,band,,,,
The Birthday Party,band,Australia,1977,,
Sons of Harmony,band,United States,,,
Fono,band,United Kingdom,,,
George Benson,artist,United States,,1943,
Enya,artist,Ireland,,1961,
Sergei Nakariakov,artist,Russia,,,
Sublime,band,United States,,,
Wyclef Jean,artist,Haiti,,,
Hal Ketchum,artist,United States,,1953,
Kathy Mattea,artist,United States,,,
Barbria DeÃnne,artist,United States,,,
Vonda Shepard,artist,United States,,,
Regular Fries,band,,,,
Renata Tebaldi,artist,Italy,,,
XPDC,band,Malaysia,,,
Pearl Jam,band,United States,1991,,
The Judds,band,United States,,,
Jeannie Lewis,artist,Australia,,1945,
The Delta 72,band,United States,,,
Sicko,band,United States,,,
The Tubes,band,United States,,,
Marry Me Jane,band,,,,
Judas Priest,band,England,,,
Porno for Pyros,band,United States,1993,,
The Lollies,band,England,,,
Tijuana Bibles,band,Canada,,,
Parade,band,United States,2000,,
Stephane Grappelli,artist,France,,,
Lasgo,band,Belgium,2001,,
Drifting Cowboys,band,United States,,,
Big Daddy,band,United States,1983,,
Moonspell,band,Portugal,,,
Don Cherry,artist,United States,,,
Warlock Pinchers,band,United States,1987,,
Meat Puppets,band,United States,,,
Kula Shaker,band,England,1995,,
Erykah Badu,artist,United States,,1972,
PYT,band,United States,,,
Maceo Parker,artist,United States,,1943,
Petula Clark,artist,England,,,
Teengenerate,band,Japan,,,
Matt King,artist,United States,,,
Big Punisher (born: Christopher Rios),artist,United States,,1971,2000
Save Ferris,band,United States,1995,,
Nits,band,Netherlands,,,
Gladys Knight,artist,United States,,1944,
Marshall Crenshaw,artist,United States,,,
Dick Gaughan,artist,Scotland,,,
Perpetual Hype Engine,band,United States,,,
Snowy White,artist,United Kingdom,,,
Erin Hay,artist,United States,,,
Lush,band,England,,,
Bis,band,Scotland,1994,,
Doves,band,,,,
Fiona Apple,artist,United States,,1977,
Goatwhore,band,,,,
Killing Joke,band,England,1978,,
Sonya Isaacs,artist,,,,
MetaliuM,band,,,,
Kenickie,band,United Kingdom,1994,,
Mel Torme,artist,United States,,,
Oppera,band,,,,
Michael Schenker,artist,Germany,,,
Foo Fighters,band,United States,1995,,
Mark Nelser,artist,United States,,,
Hootie and the Blowfish,band,United States,1989,,
Amy Grant,artist,United States,,1960,
Spear of Destiny,band,United Kingdom,,,
Brooks and Dunn,band,United States,1990,,
Adagio,band,,,,
C.J. Chenier,artist,United States,,,
Asha Bhosle,artist,India,,1933,
Rasputina,band,United States,,,
IQU,band,United States,,,
Natalie MacMaster,artist,Canada,,1973,
Phish,band,United States,,,
The Philosopher Kings,band,Canada,,,
Engine Alley,band,Ireland,,,
Will Smith,artist,United States,,1968,
Shonen Knife,band,Japan,,,
Tal Bachman,artist,Canada,,,
Godflesh,band,,,,
Icicle Works,band,England,,,
Big Drill Car,band,United States,1987,,
Earthtribe,band,United Kingdom,1996,,
Jet,band,Australia,2000,,
My Life With The Thrill Kill Kult,band,United States,,,
Arthur Baker,artist,United States,,1955,
Michael Feinstein,artist,United States,,,
John Wetton,artist,England,,,
Young Disciples,band,United Kingdom,1991,,
The Yo-Yos,band,England,1998,,
Tesla,band,United States,,,
Guided by Voices,band,United States,,,
Sky,band,Canada,,,
Don Henley,artist,United States,,,
China Crisis,band,England,,,
Guitar Wolf,band,Japan,,,
Bobby Womack,artist,United States,,,
Donna Summer,artist,United States,,,
Mike Deasy,artist,United States,,1941,
Bob Dorough,artist,United States,,,
Cartel,band,United Kingdom,,,
XTC,band,United Kingdom,1977,,
Jon Spencer Blues Explosion,band,United States,,,
Planet X,band,United States,,,
Collin Raye,artist,United States,,,
Econoline Crush,band,Canada,,,
Triumph,band,Canada,1975,,
Blue,band,England,2001,,
Icarus Jones,band,,,,
Lena Horne,artist,United States,,,
Lars Behenroth,artist,Germany,,1971,
Loretta Lynn,artist,United States,,,
54-40,band,Canada,1981,,
Dmitri Hvorostovsky,artist,Russia,,,
For Squirrels,band,United States,,,
Simeon,band,,,,
Transister,band,,,,
The Pretty Things,band,United Kingdom,,,
Fastway,band,,,,
Catatonia,band,Wales,,,
Sarah Brightman,artist,England,,1960,
Visage,band,England,,,
Anti-Nowhere League,band,United Kingdom,1980,,
Anita O'Day,artist,United States,,1919,
Carleen Anderson,artist,United States,,,
Saloon,band,England,,,
Fara Zahar,band,Romania,,,
Dead or Alive,band,England,,,
Dead Man's Party,band,,,,
James Bowman,artist,United Kingdom,,1941,
Jamiroquai,band,United Kingdom,1992,,
Fisher,band,United States,,,
Hanson,band,United States,,,
The Gun Club,band,United States,,,
Voodoo Glow Skulls,band,United States,,,
Dry Branch Fire Squad,band,,,,
Damn Yankees,band,United States,1989,,
Teaze,band,,,,
Creedence Clearwater Revival,band,United States,,,
The Shamen,band,Scotland,,,
Azharina,artist,Malaysia,,,
Life of Agony,band,United States,,,
Amanda Latona,artist,,,,
L.L. Cool J,band,United States,,,
H2SO4,band,United Kingdom,1998,,
Kornog,band,Scotland,,,
Richard Marx,artist,United States,,,
Cleopatra,band,England,,,
4Play,band,United Kingdom,2000,,
Gene Pitney,artist,United States,,,
Cameo,band,United States,1974,,
Electric,band,United States,,,
Wall of Voodoo,band,United States,,,
Rod Stewart,artist,England,,1960,
Black Eyed Peas,band,United States,1998,,
Tangerine Dream,band,Germany,,,
Richard Bone,artist,United States,,,
esn,band,Australia,,,
Brikyard Dereliks,band,United States,,,
The Wiseguys,band,England,,,
Poundhound,band,United States,,,
Idaho,band,United States,,,
Syleena Johnson,artist,United States,,,
Velvet Empire,band,Canada,2002,,
Pet Shop Boys,band,England,,,
The Firemen,band,United States,,,
Jesse James,band,United Kingdom,2000,,
Laurie Anderson,artist,United States,,1947,
Eminem,artist,United States,,1973,
Sons of Prozac,band,Canada,1999,,
Vaja,artist,,,,
Alsou,artist,Russia,,,
King Black Acid,band,United States,,,
Monaco,band,England,,,
Marc Almond,artist,England,,1959,
Eric Heatherly,artist,United States,,,
Naughty by Nature,band,United States,,,
Romeo Void,band,,,,
Jimi Tenor,artist,Finland,,,
Good Riddance,band,United States,,,
Roger Eaker,artist,United States,,,
Michael Ball,artist,England,,,
Simply Red,band,United Kingdom,1984,,
Jeff Healey,artist,Canada,,,
2 Unlimited,band,Netherlands,1990,,
Liege Lord,band,United States,,,
So Solid Crew,band,United Kingdom,,,
Blaze,band,United States,2000,,
Rik Emmett,artist,Canada,,,
Seafood,band,United Kingdom,,,
Kitty Gordon,band,United States,,,
Vocal Union,band,United States,,,
Paul Van Dyk,artist,Germany,,,
Forever Moon,band,United States,,,
Jimmie Dale Gilmore,artist,United States,,,
New Zealand Police Pipe Band,band,New Zealand,1936,,
Phil Keaggy,artist,United States,,1951,
Mordred,band,United States,,,
St. Lunatics,band,United States,,,
Bill Dixon,artist,United States,,,
Clint Black,artist,United States,,1962,
The Archers,band,United States,1967,,
Marty Stuart,artist,United States,,1958,
Tim McGraw,artist,United States,,1967,
Sammy Hagar,artist,United States,,,
Ryan Adams,artist,United States,,1974,
Rebel Rebel,band,,,,
Isley Brothers,band,United States,,,
Mic Christopher,artist,Ireland,,1969,2001
TransAtlantic,band,,,,
The Peechees,band,United States,,,
Paul Westerberg,artist,United States,,,
King Gordy,artist,,,,
Mike Oldfield,artist,England,,,
Picture House,band,Ireland,,,
Glen Campbell,artist,United States,,1936,
Sharif,artist,,,,
Menswear,band,England,,,
Massive Attack,band,England,1987,,
Idlewild,band,Scotland,1995,,
Julie London,artist,United States,,,
Booker T. Jones,artist,United States,,1944,
Paul Williams,artist,United States,,,
Uptown Groove,band,,,,
Leftover Salmon,band,United States,,,
Tanya Tucker,artist,United States,,,
Dave Rowntree,artist,England,,1963,
Angizia,band,Austria,1995,,
King Diamond,band,Denmark,,,
Milltown Brothers,band,,,,
My Voilent Ego,band,,,,
IMx,band,,,,
Jolin Tsai,artist,Taiwan,,,
Omkarmusic,artist,,,,
Martin Breeze,band,Australia,,,
Nasum,band,,,,
Peter Green,artist,England,,,
Root,band,,,,
Mos Def,artist,United States,,1973,
Coming Century,band,Japan,,,
The Rag Dolls,band,Italy,2004,,
The Black Crowes,band,United States,1984,,
Laura Love Band,band,United States,,,
Frankie Valli and the Four Seasons,band,United States,1961,,
Bone Thugs-N-Harmony,band,United States,1993,,
Yes,band,United Kingdom,1968,,
Steve Kilbey,artist,England,,,
Benediction,band,United Kingdom,1989,,
Turkish Political Music Artists,artist,,,,
Martika,band,United States,,,
Saville,band,Ireland,,,
Cane 141,band,,,,
Colleen Fitzpatrick,artist,United States,,,
PFR,band,United States,,,
Paul Butterfield,artist,United States,,1942,1987
The Buggles,band,England,1979,,
Fluke,band,England,,,
Tracy Bonham,artist,United States,,,
Furniture,band,England,,,
Iona,band,Scotland,,,
Manowar,band,Netherlands,1981,,
Thulbion,band,,,,
Hanoi Rocks,band,Finland,,,
Pink Floyd,band,United Kingdom,1965,,
The Hope Blister,band,United Kingdom,,,
Motorhead,band,United Kingdom,,,
Furia,band,,,,
Spanky and Our Gang,band,United States,,,
Moxy Früvous,band,Canada,,,
Dimmu Borgir,band,Norway,1993,,
Eraserhead,band,United States,,,
Natalie Merchant,artist,United States,,,
Shelly Streeter,artist,United States,,,
Bread,band,United States,1968,,
FENIXtx,band,United States,,,
Ethereal,band,Portugal,1997,,
Ratt,band,United States,,,
The Vapors,band,United States,,,
Björk,artist,Iceland,,1965,
TV on the Radio,band,,,,
Rage Against the Machine,band,United States,1991,,
Keltik Elektrik,band,,,,
The Candy Snatchers,band,United States,,,
Funeral For A Friend,band,Wales,2002,,
Cherish the Ladies,band,,,,
Human Nature,band,Australia,1989,,
Bongo Poets,band,United States,1999,,
The Angels,band,Australia,1973,,
Steve Winwood,artist,England,,,
Len,band,Canada,1991,,
Hefner,band,England,,,
Noa,artist,Israel,,,
Play,band,,,,
Kimberly Caldwell,artist,United States,,,
Chris Smither,artist,United States,,,
Kyuss,band,United States,1989,,
Tony Bowers,artist,England,,1952,
Roger McGuinn,artist,United States,,1942,
Giuffria,band,,,,
Audiogene,band,United Kingdom,,,
Loop Guru,band,England,,,
The Baha Men,band,Bahamas,,,
Swervedriver,band,United Kingdom,,,
Colin James,artist,Canada,,,
Children of Dub,band,United Kingdom,,,
Dire Straits,band,United Kingdom,1978,,
Lynn Anderson,artist,United States,,1947,
Nada Surf,band,United States,,,
Martin Zellar,artist,United States,,,
The Stone Coyotes,band,United States,,,
Lauren Christy,artist,England,,,
Neil Shicoff,artist,United States,,,
Benjamin Earl Nelson,artist,United States,,1938,
John Sferra,artist,United States,,,
HIM,band,Finland,,,
Abra Moore,artist,United States,,,
Kurt Elling,artist,United States,,1967,
Kenny Wollesen,artist,United States,,,
James,band,United Kingdom,1982,,
Mr. Fox,band,,,,
Shaggy,band,Jamaica,,,
Vanessa Williams,artist,United States,,,
Big Daddy Kane,artist,United States,,1968,
Lucy Kaplansky,artist,United States,,1960,
Below Tha Surface,band,United States,1993,,
Whiteheart,band,United States,,,
Jennifer Batten,artist,United States,,,
Basia,artist,Poland,,1959,
Pat Metheny,artist,United States,,,
Blue Period,band,United States,,,
Dana Glover,artist,United States,,,
Sonique,artist,United Kingdom,,,
Iron and Wine,band,,,,
Less Than Jake,band,United States,,,
Baltimora,artist,Northern Ireland,,1957,
eryK,band,United States,,,
The Badlees,band,United States,,,
Bottlefly,band,England,1997,,
Drain STH,band,Sweden,,,
Tino Casal,artist,Spain,,1950,1991
Acoustic Endeavors,band,,,,
Tananas,band,South Africa,1988,,
Crystal Lewis,artist,United States,,,
Joel Cage,artist,United States,,,
Bran Van 3000,band,Canada,1995,,
Agresión,band,,,,
Wilco,band,United States,,,
RatDog,band,United States,,,
Marilyn Horne,artist,United States,,,
Monte Montgomery,artist,United States,,,
Culture Club,band,England,,,
Mason Jennings,artist,United States,,,
Hanzel und Gretyl,band,United States,,,
CocoRosie,artist,,,,
Naomi Striemer,artist,Canada,,,
Jello Biafra,artist,United States,,1958,
Obie Trice,artist,United States,,,
Slow Train Coming,band,Australia,1999,,
Rabindranath Tagore,artist,India,,,
The Housemartins,band,England,,,
Barney Kessel,artist,United States,,1923,
Scott Weiland,artist,United States,,,
Rat Daddy,band,United Kingdom,,,
3rd Faze,band,United States,,,
KRU,band,Malaysia,1992,,
The Wannadies,band,Sweden,,,
Red Hackle Pipes and Drums,band,Belgium,1967,,
Mad Caddies,band,United States,1997,,
Earthsuit,band,United States,1995,,
Big Star,band,United States,1971,,
Eddie Rayner,artist,New Zealand,,,
P.O.T.,band,,,,
Hubris,band,Philippines,,,
miMoiD,artist,Sweden,,,
Kelis,artist,United States,,,
Cream,band,England,,,
Fairouz,artist,Lebanon,,,
Oyster Band,band,England,,,
Roger Chapman,artist,England,,,
Borghesia,band,Slovenia,1985,,
Prong,band,,,,
Carly Hennessy,artist,Ireland,,,
Sebadoh,band,United States,,,
Dead Ringer Band,band,Australia,1986,,
Cockney Rebel,band,,,,
Llan de Cubel,band,Spain,1984,,
Fey,band,Mexico,,,
Clawfinger,band,Sweden,,,
Robert Fripp,artist,England,,,
Dr. Demento,band,United States,,,
Seanachie,band,Canada,,,
David Grisman Quintet,band,United States,,,
Keith Richards,artist,England,,1943,
Calla,band,United States,1997,,
Sandra Kim,artist,Belgium,,1972,
Cotton Mather,band,United States,,,
Hüsker Dü,band,United States,1979,,
Original Bands,band,,,,
Karen Carpenter,artist,United States,,1950,1983
Queen,band,England,1971,,
Pimp Daddy Welfare,artist,United States,,1997,
The KLF,band,England,1987,,
Echo and the Bunnymen,band,England,,,
City of Washington Pipe Band,band,United States,1961,,
Story Of The Year,band,United States,1995,,
City Boy,band,United Kingdom,1973,,
Living Death,band,,,,
Social Distortion,band,United States,,,
Randy Bachman,artist,Canada,,1943,
Fuel,band,United States,1989,,
Rheostatics,band,Canada,,,
22-20s,band,England,2002,,
Stephen Kovacevich,artist,United Kingdom,,1940,
Mick Thomas and the Sure Thing,band,Australia,1999,,
Vaselines,band,Scotland,,,
Randy Adams,artist,United States,,,
Steely Dan,band,United States,,,
Galliano,band,United Kingdom,1989,,
Uncle Tom,band,United States,,,
Patsy Cline,artist,United States,,1932,1963
Sviatoslav Richter,artist,Russia,,,
Gorillaz,band,,,,
Jonas Wilson,artist,United States,,,
Herman Brood,artist,Netherlands,,1946,2001
Faith No More,band,United States,1982,,
Liz Phair,artist,United States,,,
Hank Williams III,artist,United States,,1972,
Nanochrist,band,Canada,,,
Silverwind,band,United States,,,
Mase,artist,United States,,1977,
The Jennie DeVoe Band,band,United States,,,
Illdisposed,band,Denmark,,,
The Hollies,band,England,,,
Seal,artist,England,,1963,
Lowen and Navarro,band,United States,,,
Dum Dums,band,England,,,
Wayne Watson,artist,United States,,,
Neil Diamond,artist,United States,,1941,
Charles McPherson,artist,United States,,1940,
Iceberg Shug,artist,United States,,,
Pharcyde,band,United States,,,
Jane Siberry,artist,Canada,,,
The Boomtown Rats,band,Ireland,,,
The Heptones,band,,1965,,
Remergence,band,Wales,1997,,
50 Cent,artist,United States,,1976,
David &amp; David,band,United States,1985,,
Roy Clark,artist,United States,,,
Dead Kennedys,band,United States,1978,,
Dada,band,United States,,,
Los Palominos,band,United States,,,
Mickey Hart,artist,United States,,,
Rhianna,artist,United Kingdom,,,
Emm Gryner,artist,Canada,,,
Los Lobos,band,United States,,,
Maria McKee,artist,United States,,,
Rambler,band,United States,,,
Smile,band,England,1969,,
A1,band,United Kingdom,1996,,
Kings of Convenience,band,Norway,1999,,
Sirsy,band,United States,2000,,
Limbonic Art,band,Norway,,,
Craving Theo,band,,,,
The Beau Marks,band,Canada,1958,,
RZA,band,,,,
Rosemary Clooney,artist,United States,,,
The Cryan' Shames,band,United States,,,
Bootsy Collins,artist,United States,,1951,
Eddie Cochran,artist,United States,,1938,1960
Blink-182,band,United States,1993,,
The Needles,band,United States,,,
Holly Cole,artist,Canada,,,
Bang Tango,band,United States,1987,,
Lauritz Melchior,artist,Denmark,,,
Stereo 360,band,United States,,,
Alphaville,band,Germany,1983,,
Standing In The Sun,band,United States,,,
The Andrews Sisters,band,United States,1932,,
Talib Kweli,artist,United States,,,
Brainstorm,band,Latvia,,,
Heather Findlay,artist,England,,,
3 Lb. Soul,band,United States,,,
Saga,band,Canada,1977,,
Unified Theory,band,United States,,,
DGeneration,band,United States,,,
Snake River Conspiracy,band,United States,,,
Don McLean,artist,United States,,,
Colosseum,band,United Kingdom,,,
Jason Martin,artist,United States,,,
Earl Harvin Trio,band,United States,,,
Marduk,band,,,,
Adrian Belew,artist,United States,,,
Dietrich Fischer-Dieskau,artist,Germany,,,
Sammy Kershaw,artist,United States,,1958,
Iron Maiden,band,England,1976,,
The Ataris,band,United States,1998,,
The Righteous Brothers,band,United States,,,
Bad Company,band,England,1973,,
Buckshot,band,Canada,,,
Earshot,band,,,,
Talulah Gosh,band,England,,,
Jackyl,band,United States,,,
All Star United,band,United States,1997,,
Gay Dad,band,United Kingdom,,,
Keith Emerson,artist,England,,,
Dallas Taylor,artist,United States,,,
Jack Johnson,artist,United States,,,
Wade Hayes,artist,United States,,,
Kalamunda Youth Swing Band,band,Australia,1989,,
Hank Snow,artist,Canada,,,
Civil,band,United States,,,
Cee-Lo,artist,,,,
Moondog,band,United States,,,
Volatile Blue,band,,,,
The Charlatans,band,England,,,
C,artist,,,,
Seawind,band,United States,1974,,
Imajin,band,United States,,,
Ritchie Valens,artist,United States,,1941,1959
Maurice André,artist,France,,1933,
Sonny Crocket,band,Sweden,,,
Timothy Schmit,artist,United States,,,
Exposé,band,United States,,,
Tony Scherr,artist,United States,,,
Babylonian Tiles,band,United States,1989,,
Chantal Kreviazuk,artist,Canada,,1973,
6fg,band,United States,,,
Blud Bros.,band,United States,,,
3 Mustaphas 3,band,,,,
Combustible Edison,band,United States,,,
N'rG,band,United States,,,
Trevor Rabin,artist,South Africa,,1955,
Norah Jones,artist,United States,,,
Arch Enemy,band,,,,
Paramaecium,band,Australia,1990,,
Lene Marlin,artist,Norway,,,
Liquido,band,Germany,,,
Undun,band,,,,
The Corrs,band,Ireland,1990,,
Serenity,band,,,,
Vas,band,,,,
Anita Mui,artist,Hong Kong,,,
Wired All Wrong,band,United States,2003,,
That Petrol Emotion,band,Northern Ireland,,,
Stone Sour,band,United States,,,
Caedmon's Call,band,United States,1992,,
Flogging Molly,band,United States,,,
John Hicks,artist,United States,,,
Muirhead and Sons Ltd. Pipe Band,band,Scotland,,,
dEUS,band,Belgium,,,
Mudhoney,band,United States,,,
Nigel Pepper Cock,band,,,,
Ralph Towner,artist,United States,,,
Scottish Power Pipe Band,band,Scotland,1989,,
2-D,artist,,,,
JJ Johnson,artist,United States,,,
Rosita,band,England,,,
St. Columcille's United Gaelic Pipe Band,band,United States,1949,,
Point of Grace,band,United States,,,
Mink,band,United States,,,
Mushroomhead,band,,,,
Fear Factory,band,United States,,,
Terri Clark,artist,Canada,,,
Canibus,band,Jamaica,,,
Howie Day,artist,United States,,,
Yanni,band,Greece,1988,,
Ginger Baker,artist,England,,1939,
Sanctity,band,United States,2000,,
Pretty Boy Floyd,band,,,,
Ten Years After,band,England,,,
The Statler Brothers,band,United States,,,
Nitzer Ebb,band,,,,
King Uszniewicz and his Uszniewicztones,band,,,,
Cecilia Bartoli,artist,Italy,,1966,
Lionel Richie,artist,United States,,,
Morcheeba,band,England,,,
Camel,band,England,1972,,
Jon Astley,artist,England,,,
OCS,band,Romania,,,
Kiltlifters,band,Canada,1999,,
Blue Mitchell,artist,United States,,1930,1979
Screaming Jets,band,Australia,,,
LaVern Baker,artist,United States,,1929,1997
Cab Calloway,artist,United States,,1907,1994
Exit 331,band,United States,,,
Unwound,band,United States,,,
Pat Benatar,artist,United States,,1953,
Bruce Cockburn,artist,Canada,,1945,
Coventry Philharmonic Choir,band,England,,,
Dan Tyminski,artist,United States,,,
Idina Menzel,artist,United States,,1971,
Days of the New,band,United States,,,
Supercharger,band,United States,,,
Barnabas,band,United States,,,
Shanice Wilson,artist,United States,,,
Tiny Tim,artist,United States,,1933,1996
Kanda Bongo Man,artist,"Congo, Democratic Republic of the",,,
Johnny Hartman,artist,United States,,,
Ayumi Hamasaki,artist,Japan,,1978,
Imperial Teen,band,United States,,,
Cypress Hill,band,United States,,,
Twisted Sister,band,United States,,,
Rainbow,band,England,1975,,
Whale,band,Sweden,,,
Ronan Keating,artist,Ireland,,1977,
Garrison Starr,artist,United States,,,
Anggun,artist,Indonesia,,1974,
Ultramagnetic MC's,band,United States,,,
Three Fish,band,United States,1996,,
St. Joris Boy Scouts Pipe Band,band,Belgium,,,
Cocteau Twins,band,Scotland,,,
P.J. Harvey,artist,England,,,
Alabama 3,band,United Kingdom,1995,,
Helen Reddy,artist,Australia,,,
Crouch Mog,band,United Kingdom,2001,,
Barry McGuire,artist,United States,,1935,
Faith and the Muse,band,,,,
Weszt,band,,,,
The 78th Fraser Highlanders Pipe Band,band,Canada,1982,,
Matthew Kahler,artist,United States,,,
Dan Seals,artist,United States,,,
Junior Varsity,band,United States,,,
Soulcracker,band,United States,,,
The Waltons,band,Canada,,,
Stephen Gately,artist,Ireland,,1976,
David Sylvian,artist,England,,1958,
Fugees,band,United States,1987,,
DJ BoBo,artist,Switzerland,,1968,
Les Paul,band,United States,,,
InLimbo,band,United States,,,
Daniel Gold,artist,United States,,,
Zachary Richard,artist,United States,,,
Chris Squire,artist,England,,,
Oestrogenix,band,United States,,,
Turkish Dance Music Artists,artist,,,,
Mudvayne,band,United States,1996,,
The Doors,band,United States,1965,,
Everly Brothers,band,United States,,,
The Subways,band,,,,
Robot Teen America,band,United States,2001,,
John McLaughlin,artist,England,,,
Rick Astley,artist,England,,1966,
Filippa Giordano,artist,Italy,,1974,
Malevolent Creation,band,United States,,,
Indidginus,band,,,,
Little Feat,band,United States,,,
Razor,band,Canada,,,
Marie Carmen,artist,Canada,,1959,
Oingo Boingo,band,United States,,,
Underoath,band,United States,1997,,
Hoku,band,United States,,,
The Flying Burrito Brothers,band,United States,,,
Glen Burtnik,artist,United States,,1955,
Eric Stewart,artist,England,,1945,
Believer,band,United States,,,
Wire,band,England,,,
The Germs,band,United States,,,
Slowdive,band,England,,,
Mitch Easter,artist,United States,,1954,
