name,type,country,founded,born,died
The Divine Comedy,band,Northern Ireland,,,
Harry Partch,artist,United States,,,
Tonya Mitchell,artist,United States,,,
Lenny Wolf's Kingdom Come,band,United States,,,
Ephram Zimolest Owens,artist,United States,,,
Buckethead,artist,United States,,,
Bow Wow Wow,band,England,1980,,
Apollo 440,band,England,1990,,
Unus Mundus,artist,,,,
Hundred Reasons,band,England,,,
Minor Threat,band,United States,,,
Lemonheads,band,United States,,,
Squeeze,band,England,,,
Absolute Whores,band,Canada,1985,,
30 Odd Foot of Grunts,band,Australia,1992,,
Lil' Mo,artist,,,,
Chris and Cosey,band,England,,,
Jeff Buckley,artist,United States,,1966,1997
Red Hot Chili Peppers,band,United States,1983,,
Stan Kenton Orchestra,band,United States,1941,,
Right Said Fred,band,England,,,
Jet Set Satellite,band,Canada,,,
Randy Scruggs,artist,United States,,,
Thompson Brothers Band,band,United States,,,
Catch 22,band,United States,,,
Billy Joel,artist,United States,,1949,
Junior Senior,band,,,,
Andreas Paolo Perger,artist,Austria,,1970,
Stratovarius,band,Finland,1984,,
Alex Acuna,artist,United States,,,
onLoad,band,,,,
Fleming and John,band,United States,,,
Alien Crime Syndicate,band,United States,1997,,
The Circle Jerks,band,United States,1979,,
Men Without Hats,band,Canada,1980,,
Garmarna,band,Sweden,,,
The Devil Dogs,band,United States,,,
Arab Strap,band,Scotland,1995,,
Lali Puna,band,Germany,,,
Muddy Waters,band,United States,,,
Morning Musume,band,Japan,,,
Edwin,band,Canada,,,
Imogen Heap,artist,England,,,
Soul Miners Daughter,band,United States,,,
Lorrie Morgan,artist,United States,,,
Lisa Gerrard,artist,,,,
Ultra Vivid Scene,band,United States,,,
AC-DC,band,Australia,1973,,
Angus MacLise,artist,United States,,,
Osiris Rising,band,,,,
Kasim Sulton,artist,United States,,,
Cursive,band,,,,
John Cale,artist,Wales,,1942,
Roxx Gang,band,United States,,,
Lisa Dalbello,artist,Canada,,,
Adam and the Ants,band,United Kingdom,1977,,
Mourning Widows,band,United States,1999,,
Lou Reed,artist,United States,,,
Thievery Corporation,band,United States,,,
S.O.A.P.,band,Netherlands,,,
Damon and Naomi,band,United States,1990,,
Khaled Selim,artist,Egypt,,,
Mylon LeFevre,artist,United States,,,
Robert and Punchdrunks Johnson,artist,Sweden,,,
Jan Akkerman,artist,Netherlands,,1946,
Alfie Zappacosta,artist,Canada,,,
Face to Face,band,United States,,,
Spiller,band,Italy,,,
Merle Travis,artist,United States,,,
Man,band,Wales,1968,,
Moris Tepper,artist,United States,,,
Ocean Diesel,band,,,,
iOTA,band,Australia,,,
Graham Coxon,artist,England,,,
The Count,band,United States,,,
Mac Umba,band,,,,
Blood Has Been Shed,band,United States,1999,,
Pentangle,band,United Kingdom,,,
Plumb,band,,,,
Robert Plant,artist,England,,1948,
Dead Can Dance,band,United Kingdom,1980,,
Michael Callen,artist,United States,,,
Dido,artist,England,,1971,
Lee Greenwood,artist,United States,,,
The Deep Eynde,band,United States,,,
Wave,band,Canada,,,
Benny Hester,artist,United States,,,
Chino XL,band,United States,,,
North Mississippi Allstars,band,,,,
Sleeper,band,United Kingdom,,,
Jim Lauderdale,artist,United States,,,
Bryan Ferry,artist,England,,1945,
Travis Barker,artist,United States,,,
Richard Ashcroft,artist,England,,1971,
Steelheart,band,,,,
Kevin Sharp,artist,United States,,,
Torture Shoe,artist,,,,
Dead Milkmen,band,United States,1983,,
The Mavericks,band,United States,,,
David Meece,artist,United States,,,
Graham Memorial Pipe Band,band,Ireland,,,
J. Geils Band,band,United States,1967,,
Anvil,band,,,,
Nadine Renee,artist,United States,,,
Micko Westmoreland,artist,England,,,
Cam'ron,artist,United States,,,
Wide Mouth Mason,band,Canada,,,
Adorable,band,England,1990,,
Pseudo Echo,band,Australia,,,
The Shadows,band,United Kingdom,,,
Jesus Jones,band,United Kingdom,,,
The Braindead Monkeys,band,United States,,,
The Specials,band,England,,,
Enuff Z'Nuff,band,United States,,,
Blue Man Group,band,United States,1987,,
Tiger Trap,band,United States,,,
Discography,artist,,,,
Ricky Skaggs,artist,United States,,,
Jelly Roll Morton,artist,United States,,,
Bud Powell,artist,United States,,1924,1966
Brian,artist,Ireland,,,
Accept,band,Germany,1978,,
DJ Logic,band,United States,,,
Buccleuch and Queensberry Caledonia Pipe Band,band,,,,
Mass Hystereo,band,United States,1997,,
Nightwish,band,,,,
Deerhoof,band,,,,
Bim Skala Bim,band,United States,1983,,
Michael Martin Murphey,artist,United States,,,
Danger Danger,band,United States,1988,,
Vigilantes of Love,band,United States,,,
Runrig,band,Scotland,,,
Carman,band,United States,,,
Paloalto,band,United States,,,
Almost Famous,band,United States,2001,,
Sarah McLachlan,artist,Canada,,1968,
Kenny Burrell,artist,United States,,1931,
Barbara Mandrell,artist,United States,,,
Flying Virgins,band,,,,
Benign,band,,,,
Chris Connelly,artist,United States,,,
Pink Military,band,England,1978,,
Mad Season,band,United States,1995,,
The Selzers,band,United States,,,
Bernie Leadon,artist,United States,,,
Joi,band,United Kingdom,,,
Santana,band,United States,,,
Moist,band,Canada,,,
Janet Russell and Christine Kydd,band,,,,
Aquarius,artist,United States,,,
Jimmy Buffett,artist,United States,,1946,
The Juliana Theory,band,United States,1997,,
Johnny Cash,artist,United States,,1932,2003
Ray Boltz,artist,,,,
The Ill Figures,band,United States,,,
Mya Harrison,artist,United States,,,
Veruca Salt,band,United States,1993,,
Jill Scott,artist,United States,,1972,
The Muffs,band,United States,,,
Kristin Hersh,artist,United States,,,
God Lives Underwater,band,United States,1992,,
Current 93,band,England,,,
T. Graham Brown,artist,United States,,1954,
Christmas,band,Canada,,,
Vanity Champ,band,,,,
Montserrat Caballé,artist,Spain,,,
Sparklehorse,band,United States,,,
Radney Foster,artist,United States,,,
Shakatak,band,United Kingdom,,,
Namaste Jake,band,Australia,2000,,
Dave Matthews Band,band,United States,1991,,
Alison Krauss and Union Station,band,United States,,,
